Recipe,Image Link
One-Pot Cheeseburger Pasta,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/36ae3598f6ce40029766f7f2ae643826/BFV29964_1lbGroundBeef4Dinners_FB1080SQ.jpg?resize=300:*&output-format=auto&output-quality=auto
One-Pot Broccoli Cheddar Soup,https://img.buzzfeed.com/video-api-prod/assets/6396f774ef154c49b23614598ff595ea/MVI_9969_FB.jpg?resize=300:*&output-format=auto&output-quality=auto
Vegan Butternut Squash Al Pastor Tacos,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/251104.jpg?resize=300:*&output-format=auto&output-quality=auto
Honey Soy Glazed Salmon,https://img.buzzfeed.com/video-api-prod/assets/04ff8cfcc4b5428a8bcc6b03099d4492/Thumb_A_FB.jpg?resize=300:*&output-format=auto&output-quality=auto
Weekday Meal-prep Pesto Chicken & Veggies,no image
Grilled Shrimp Tacos With Creamy Cilantro Sauce,no image
Scalloped Potato Roll,no image
Slow Cooker Loaded Potato Soup,no image
Taco-Stuffed Peppers,no image
Easy Fish Tacos,no image
"Cucumber, Tomato, And Avocado Salad",https://img.buzzfeed.com/video-api-prod/assets/c0e43511da3f428bab75f6991b543e63/BFV6678_HealthyCucumberTomatoAndAvocadoSalad-Thumb1080B.jpg?resize=300:*&output-format=auto&output-quality=auto
Buttermilk-Fried Chicken Sandwich,https://img.buzzfeed.com/video-api-prod/assets/77aad6750f33448597f3728b83d60947/Thumb_A_FB.jpg?resize=300:*&output-format=auto&output-quality=auto
Southwestern-style Quinoa Salad,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/8c49611d7f6740d3bdf7195f79460fdd/Facebook.jpg?resize=300:*&output-format=auto&output-quality=auto
Pesto Chicken Bake,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/8f14df7bed8f4a2ba98f017f058b9a8f/BFV9176_Chicken_Bake_4_Ways_FB1080SQ.jpg?resize=300:*&output-format=auto&output-quality=auto
Loaded Baked Potato Soup,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/84a5b4aa71b1476481fec65141e8e687/BFV330965SoupsToWarmYourSoulFBV2.jpg?resize=300:*&output-format=auto&output-quality=auto
Weekday Meal-Prep Chicken Burrito Bowls,https://img.buzzfeed.com/video-api-prod/assets/663214b6298c474982d5dd905077f45f/BFV12161_BFV18942_Weekday_Meal-Prep_Chicken_Burrito_Bowls-Thumb1080SQ.jpg?resize=300:*&output-format=auto&output-quality=auto
Curry Noodle Soup,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/3e55ff62fd374db7bef0cba542432490/One-PotVeganDinnersFBFinal.jpg?resize=300:*&output-format=auto&output-quality=auto
Sloppy Joe Sliders,https://img.buzzfeed.com/video-api-prod/assets/74df56c66c5647fdabd17f95f0e72897/Thumb.jpg?resize=300:*&output-format=auto&output-quality=auto
Chicken Noodle Soup,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/f9edb8e3d53145e9bac6b6919643fca8/BFV14656_ChickenNoodleSoup_FB1080SQ.jpg?resize=300:*&output-format=auto&output-quality=auto
Cashew Chicken Stir-Fry,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/96137.jpg?resize=300:*&output-format=auto&output-quality=auto
Meal Prep Pesto Chicken Pasta,https://img.buzzfeed.com/video-api-prod/assets/e9fdfc93468d45ab8b7b462b2bd74d85/BFV15946_Meal_Prep_Pesto_Chicken_PastaThumb.jpg?resize=300:*&output-format=auto&output-quality=auto
Spinach & Mushroom Quesadilla,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/3347.jpg?resize=300:*&output-format=auto&output-quality=auto
Creamy Pesto Pasta Bake,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/50634.jpg?resize=300:*&output-format=auto&output-quality=auto
Summer Vegetable Minestrone Soup,https://img.buzzfeed.com/video-api-prod/assets/76c94f7c041142c89028522017e0b425/fb_thumb.jpg?resize=300:*&output-format=auto&output-quality=auto
Healthy & Hearty Black Bean Soup,https://img.buzzfeed.com/video-api-prod/assets/7ae6c5cb4cfc4dfa8a316dd3cb0e6966/FB_2.jpg?resize=300:*&output-format=auto&output-quality=auto
One-Pan Teriyaki Chicken Meal Prep,https://img.buzzfeed.com/video-api-prod/assets/2a909e01f9cf42688535d1066f8facfa/BFV17607_One-PanTeriyakiChickenMealPrep-Thumb01.jpg?resize=300:*&output-format=auto&output-quality=auto
Sweet And Sour Pork,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/aa2dffba333842628649b06c0aad70db/CUT2.jpg?resize=300:*&output-format=auto&output-quality=auto
One-pan Roasted Chicken And Sweet Potatoes,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/cb5bf201eeef4702bc44b4bff81b9630/BFV34175_One-PanMealsUnder500Calories-FB1080SQ.jpg?resize=300:*&output-format=auto&output-quality=auto
The Best Layered Lasagna,https://img.buzzfeed.com/video-api-prod/assets/01cfdd3c80844c63baae4784b53df3f4/FB_2.jpg?resize=300:*&output-format=auto&output-quality=auto
Meal-Prep Garlic Chicken And Veggie Pasta,https://img.buzzfeed.com/video-api-prod/assets/ec15137f921a40f49317cd75d38a961d/BFV14804_Meal-PrepGarlicChickenAndVeggiePasta-TextlessThumb.jpg?resize=300:*&output-format=auto&output-quality=auto
Honey Mustard Chicken Salad,https://img.buzzfeed.com/video-api-prod/assets/a71243d4fc22455b8b3d0d1812dbab29/Thumbds.jpg?resize=300:*&output-format=auto&output-quality=auto
French Onion Soup,no image
Roasted Shrimp & Veggie Salad,no image
Honey-Lime Chicken And Avocado Salad,https://img.buzzfeed.com/video-api-prod/assets/c2ab8caf2d39414082ba6d1adee68db1/BFV10627_Honey-Lime_Chicken_and_Avocado_Salad_Thumb_A_-_FB.jpg?resize=300:*&output-format=auto&output-quality=auto
Hearty Potato Salad,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/154552.jpg?resize=300:*&output-format=auto&output-quality=auto
